sku,oem_cross_ref,categorie,designation,marque,location_id,stock_systeme,stock_physique_compte,stock_reserve,seuil_reappro,stock_securite,cout_unitaire_cad,prix_vente_cad,delai_fournisseur_j,classe_abc
SEN-23526,OEM-3390619,Électrique,Alternateur 140A (Denso),Denso,B-22-03-L4-B,10,10,6,8,2,306.7,462.19,31,C
SEN-23527,OEM-3686053,Électrique,Bobine d'allumage (Delphi),Delphi,C-03-01-L1-D,71,71,0,24,14,25.28,41.82,19,A
CAB-23528,OEM-8998274,Filtration,Filtre à air (Purflux),Purflux,D-08-10-L2-C,12,12,10,4,2,24.23,34.22,45,A
ALT-23529,OEM-5139634,Électrique,Bobine d'allumage (Valeo),Valeo,B-33-03-L2-A,61,61,14,33,6,290.89,476.9,20,A
SUS-23530,OEM-8379283,Suspension,Amortisseur bitube (Moog),Moog,B-29-05-L1-C,45,45,5,24,12,81.18,131.13,21,C
BEL-23531,OEM-6385836,Moteur & Refroidissement,Radiateur alu (SKF),SKF,B-28-09-L4-A,4,4,1,10,4,231.54,396.24,29,A
CAL-23532,OEM-2667471,Freinage,Étrier reconditionné (Textar),Textar,A-09-08-L4-A,54,54,8,27,15,55.22,89.47,12,C
FLT-23533,OEM-7943219,Filtration,Filtre à huile (Mann-Filter),Mann-Filter,C-10-04-L4-D,187,187,12,114,36,22.99,37.66,8,C
FLT-23534,OEM-8668994,Filtration,Filtre carburant diesel (Bosch),Bosch,C-06-08-L3-B,443,443,15,67,20,6.85,9.35,7,B
RAD-23535,OEM-7638544,Moteur & Refroidissement,Radiateur alu (Nissens),Nissens,B-06-05-L1-A,6,6,2,7,4,194.11,293.79,30,A
CAL-23536,OEM-2985083,Freinage,Flexible de frein (Bosch),Bosch,B-21-03-L1-D,412,412,6,128,58,154.35,229.2,5,C
AIR-23537,OEM-3769247,Filtration,Filtre habitacle charbon (Mahle),Mahle,B-34-06-L1-E,4,4,1,7,1,21.76,38.01,40,A
WAT-23538,OEM-5391304,Moteur & Refroidissement,Radiateur alu (Nissens),Nissens,B-37-02-L4-E,42,42,0,22,6,206.32,317.33,13,C
SUS-23539,OEM-3764286,Suspension,Bras oscillant inférieur (Bilstein),Bilstein,A-19-06-L4-B,447,447,12,82,28,144.75,212.67,3,A
STR-23540,OEM-6437998,Électrique,Bobine d'allumage (Delphi),Delphi,B-38-03-L1-E,15,15,15,8,1,165.04,227.97,32,C
AIR-23541,OEM-3638181,Filtration,Filtre habitacle charbon (Mahle),Mahle,B-40-04-L4-D,12,12,2,6,2,24.97,35.04,27,A
AIR-23542,OEM-6545641,Filtration,Filtre à air (Mann-Filter),Mann-Filter,A-17-13-L3-B,45,45,4,37,19,24.92,43.15,17,C
SEN-23543,OEM-4451258,Électrique,Bobine d'allumage (Delphi),Delphi,B-09-01-L2-C,39,39,15,27,15,131.12,214.42,8,A
ALT-23544,OEM-9373442,Électrique,Démarreur 1.8kW (Bosch),Bosch,D-02-10-L4-E,8,8,7,5,1,19.62,32.34,20,A
STR-23545,OEM-4885578,Suspension,Ressort hélicoïdal (Bilstein),Bilstein,C-02-05-L2-E,38,38,10,21,11,152.84,209.94,8,C
BEL-23546,OEM-1457902,Moteur & Refroidissement,Radiateur alu (Gates),Gates,B-17-05-L2-A,58,58,7,36,20,34.16,54.78,17,C
WAT-23547,OEM-9401063,Moteur & Refroidissement,Radiateur alu (Valeo),Valeo,B-29-05-L2-D,76,76,7,36,9,159.36,237.43,10,B
STR-23548,OEM-1718872,Électrique,Capteur vilebrequin (Bosch),Bosch,D-01-04-L1-D,2,2,0,9,2,188.6,307.61,17,C
ARM-23549,OEM-9024679,Suspension,Ressort hélicoïdal (Moog),Moog,A-19-13-L2-D,13,13,7,9,1,157.7,259.15,42,C
STR-23550,OEM-4664783,Suspension,Bras oscillant inférieur (KYB),KYB,B-18-10-L4-E,55,55,9,44,19,194.56,324.78,16,C
BEL-23551,OEM-1246641,Moteur & Refroidissement,Kit distribution + pompe (Nissens),Nissens,D-01-01-L2-D,6,6,1,5,3,40.85,71.04,38,C
SUS-23552,OEM-6897787,Suspension,Amortisseur bitube (Sachs),Sachs,C-17-04-L3-D,201,201,0,123,57,95.43,139.5,4,C
ARM-23553,OEM-2760906,Suspension,Amortisseur bitube (Monroe),Monroe,B-34-04-L1-D,79,79,8,36,20,184.45,297.68,10,C
SEN-23554,OEM-8626016,Électrique,Sonde Lambda amont (Bosch),Bosch,B-02-09-L1-A,164,164,6,113,53,83.15,133.13,4,B
ARM-23555,OEM-7579231,Suspension,Amortisseur bitube (Monroe),Monroe,C-12-08-L3-A,228,228,2,120,43,26.12,37.71,10,C
ALT-23556,OEM-8886876,Électrique,Capteur vilebrequin (NGK),NGK,C-17-03-L4-E,11,11,11,8,2,224.71,304.7,30,C
BEL-23557,OEM-2376867,Moteur & Refroidissement,Radiateur alu (Gates),Gates,B-15-10-L3-E,12,12,5,8,4,80.84,141.39,17,C
RAD-23558,OEM-3798017,Moteur & Refroidissement,Thermostat piloté (Continental),Continental,A-15-03-L3-D,14,14,13,10,4,179.33,303.56,36,C
AIR-23559,OEM-7045860,Filtration,Filtre carburant diesel (Mahle),Mahle,B-24-02-L2-B,17,17,15,32,9,10.19,17.45,10,B
WAT-23560,OEM-3265102,Moteur & Refroidissement,Radiateur alu (Continental),Continental,B-39-01-L1-B,13,13,9,8,2,88.67,147.11,17,A
STR-23561,OEM-4268497,Électrique,Capteur vilebrequin (NGK),NGK,A-16-05-L1-A,32,32,4,41,19,252.04,351.24,8,C
FLT-23562,OEM-4279690,Filtration,Filtre habitacle charbon (Mann-Filter),Mann-Filter,A-19-01-L1-D,347,347,11,115,42,15.69,23.6,8,A
SUS-23563,OEM-6568185,Suspension,Amortisseur bitube (KYB),KYB,B-13-09-L4-B,79,79,9,35,12,36.79,50.8,15,C
STR-23564,OEM-4244804,Suspension,Rotule de direction (Monroe),Monroe,B-15-08-L3-A,72,69,6,27,16,165.12,258.21,9,C
STR-23565,OEM-7394734,Suspension,Amortisseur bitube (Sachs),Sachs,C-19-10-L1-E,6,6,2,10,2,117.4,178.42,29,C
RAD-23566,OEM-7399534,Moteur & Refroidissement,Thermostat piloté (Continental),Continental,B-23-01-L1-A,3,3,3,8,3,202.03,318.77,26,C
CAB-23567,OEM-1935728,Filtration,Filtre habitacle charbon (Mahle),Mahle,C-17-09-L4-A,3,3,0,11,3,8.34,14.55,24,A
AIR-23568,OEM-9709721,Filtration,Filtre à huile (Purflux),Purflux,B-11-04-L2-D,363,363,14,83,36,18.53,25.19,7,C
STR-23569,OEM-3931776,Suspension,Ressort hélicoïdal (Bilstein),Bilstein,C-11-06-L1-D,407,407,5,97,48,73.71,117.87,3,C
STR-23570,OEM-2190433,Électrique,Capteur vilebrequin (Delphi),Delphi,C-18-09-L4-A,8,8,4,10,2,275.76,418.78,34,C
RAD-23571,OEM-9384029,Moteur & Refroidissement,Radiateur alu (Nissens),Nissens,B-38-05-L2-B,10,10,8,9,3,157.97,216.04,21,C
BEL-23572,OEM-9365045,Moteur & Refroidissement,Kit distribution + pompe (Continental),Continental,B-07-10-L2-D,15,15,3,10,3,206.64,285.26,42,C
BRK-23573,OEM-2417499,Freinage,Plaquettes AR (Brembo),Brembo,A-05-10-L2-B,326,326,11,58,22,128.47,199.02,3,A
WAT-23574,OEM-2805913,Moteur & Refroidissement,Kit distribution + pompe (Gates),Gates,B-34-09-L1-C,11,11,8,4,1,14.21,24.43,19,C
ALT-23575,OEM-3380815,Électrique,Alternateur 140A (Bosch),Bosch,A-18-07-L4-E,7,7,5,7,1,189.04,322.28,25,C
ALT-23576,OEM-7615778,Électrique,Capteur vilebrequin (NGK),NGK,C-07-10-L1-E,9,9,8,9,3,257.33,364.52,33,C
WAT-23577,OEM-7549556,Moteur & Refroidissement,Kit distribution + pompe (Valeo),Valeo,B-07-02-L4-B,134,134,14,75,41,18.01,26.54,9,C
WAT-23578,OEM-2447617,Moteur & Refroidissement,Radiateur alu (Gates),Gates,C-08-02-L2-C,1,1,1,6,2,81.83,131.56,15,A
SEN-23579,OEM-5595993,Électrique,Capteur vilebrequin (Denso),Denso,D-03-01-L1-B,6,6,6,10,2,173.65,265.91,37,A
CAL-23580,OEM-8187196,Freinage,Flexible de frein (Ferodo),Ferodo,C-15-09-L4-D,6,6,1,5,1,26.96,38.06,15,B
ROT-23581,OEM-7998465,Freinage,Plaquettes AV (TRW),TRW,B-32-04-L3-A,13,13,11,5,2,54.47,84.94,41,B
SEN-23582,OEM-1916700,Électrique,Bobine d'allumage (Valeo),Valeo,C-17-02-L1-B,36,36,12,38,15,284.52,497.69,17,C
CAL-23583,OEM-8758679,Freinage,Disque ventilé (Ferodo),Ferodo,B-34-06-L3-E,10,10,8,41,17,143.13,210.06,14,C
ROT-23584,OEM-2953393,Freinage,Plaquettes AR (Bosch),Bosch,A-19-12-L3-A,3,3,0,8,1,88.86,144.78,45,C
SEN-23585,OEM-3597479,Électrique,Sonde Lambda amont (NGK),NGK,A-12-08-L1-C,49,49,11,28,9,162.64,255.63,19,B
ARM-23586,OEM-7366674,Suspension,Ressort hélicoïdal (KYB),KYB,A-20-08-L3-B,13,13,1,7,2,35.81,58.16,15,A
CAB-23587,OEM-1546773,Filtration,Filtre habitacle charbon (Mann-Filter),Mann-Filter,C-17-01-L1-A,8,8,3,8,4,16.81,26.9,17,C
BEL-23588,OEM-4176784,Moteur & Refroidissement,Thermostat piloté (SKF),SKF,B-35-07-L3-E,125,125,13,115,53,50.91,83.96,7,C
SEN-23589,OEM-5089933,Électrique,Démarreur 1.8kW (Valeo),Valeo,B-16-04-L4-D,12,10,5,12,4,224.82,336.76,40,A
SEN-23590,OEM-4669094,Électrique,Alternateur 140A (Bosch),Bosch,A-13-10-L3-D,6,6,2,7,3,20.62,32.96,25,C
BEL-23591,OEM-6681834,Moteur & Refroidissement,Radiateur alu (Continental),Continental,B-29-10-L4-A,42,42,12,26,15,226.83,345.89,19,C
BRK-23592,OEM-6885058,Freinage,Étrier reconditionné (TRW),TRW,B-17-01-L2-E,90,90,11,94,32,88.21,147.31,8,C
SEN-23593,OEM-3277982,Électrique,Démarreur 1.8kW (Bosch),Bosch,B-33-04-L2-E,3,3,2,8,4,249.37,366.99,25,C
ARM-23594,OEM-6647404,Suspension,Bras oscillant inférieur (Sachs),Sachs,B-02-04-L3-A,190,190,13,93,53,27.85,48.32,9,C
ROT-23595,OEM-5282597,Freinage,Disque ventilé (Textar),Textar,B-29-05-L3-E,43,43,8,47,20,64.08,89.98,17,C
ARM-23596,OEM-9372615,Suspension,Rotule de direction (Sachs),Sachs,A-11-06-L2-E,7,7,3,5,1,78.46,118.08,22,A
SUS-23597,OEM-4311696,Suspension,Bras oscillant inférieur (Monroe),Monroe,C-14-03-L3-D,7,7,6,10,2,190.99,297.42,42,C
ALT-23598,OEM-8122940,Électrique,Alternateur 140A (NGK),NGK,B-36-04-L2-C,1,1,1,5,1,109.39,155.44,42,C
SEN-23599,OEM-6735545,Électrique,Alternateur 140A (Valeo),Valeo,B-34-03-L2-B,10,10,7,20,5,270.32,402.55,19,C
RAD-23600,OEM-5617316,Moteur & Refroidissement,Thermostat piloté (Valeo),Valeo,B-10-06-L4-E,13,13,1,10,4,140.66,198.8,27,C
CAL-23601,OEM-8246897,Freinage,Flexible de frein (Textar),Textar,C-17-03-L3-C,10,10,7,5,1,94.48,147.03,14,A
WAT-23602,OEM-3859475,Moteur & Refroidissement,Thermostat piloté (Gates),Gates,A-20-01-L3-D,26,26,11,23,6,191.52,334.53,18,C
STR-23603,OEM-8921020,Suspension,Bras oscillant inférieur (Moog),Moog,C-15-05-L4-C,6,6,5,7,4,147.96,211.36,19,C
ALT-23604,OEM-1991410,Électrique,Démarreur 1.8kW (Bosch),Bosch,B-27-01-L1-B,3,3,3,5,3,277.59,428.99,19,C
SEN-23605,OEM-3246513,Électrique,Capteur vilebrequin (Valeo),Valeo,C-11-04-L2-D,152,152,9,125,57,35.27,50.34,6,C
AIR-23606,OEM-5781596,Filtration,Filtre à air (Wix),Wix,D-06-09-L3-D,2,2,1,7,1,18.66,25.93,28,C
STR-23607,OEM-5620598,Électrique,Sonde Lambda amont (Denso),Denso,B-33-10-L3-C,10,10,6,8,4,86.82,141.8,32,C
STR-23608,OEM-2639660,Suspension,Rotule de direction (Sachs),Sachs,D-03-10-L4-A,11,11,7,5,2,191.54,286.45,30,A
SEN-23609,OEM-4384959,Électrique,Alternateur 140A (Delphi),Delphi,A-18-13-L1-A,9,9,8,8,3,70.05,115.46,24,C
STR-23610,OEM-7156283,Suspension,Bras oscillant inférieur (Moog),Moog,B-08-07-L4-E,34,34,8,37,13,167.45,275.38,20,C
CAB-23611,OEM-1586990,Filtration,Filtre habitacle charbon (Purflux),Purflux,B-02-03-L3-B,31,31,2,50,20,17.23,24.47,13,B
CAL-23612,OEM-7066124,Freinage,Étrier reconditionné (Textar),Textar,B-19-08-L2-B,15,15,9,6,2,158.72,224.12,15,C
STR-23613,OEM-5825850,Suspension,Rotule de direction (Bilstein),Bilstein,C-06-01-L3-B,3,3,1,4,1,159.58,262.4,25,B
CAB-23614,OEM-9222491,Filtration,Filtre à huile (Wix),Wix,A-09-08-L2-A,446,446,2,98,36,3.81,6.13,7,C
STR-23615,OEM-8306785,Suspension,Ressort hélicoïdal (KYB),KYB,A-10-10-L2-B,306,306,9,77,47,109.4,175.19,3,B
CAB-23616,OEM-5720944,Filtration,Filtre carburant diesel (Mann-Filter),Mann-Filter,D-08-03-L2-E,37,37,12,46,20,30.52,44.0,19,B
AIR-23617,OEM-7239716,Filtration,Filtre habitacle charbon (Purflux),Purflux,A-10-13-L4-E,102,102,2,59,25,20.96,28.72,8,A
STR-23618,OEM-9324140,Électrique,Alternateur 140A (Delphi),Delphi,B-03-09-L2-D,12,12,11,5,1,178.16,294.9,26,A
CAB-23619,OEM-3168973,Filtration,Filtre carburant diesel (Wix),Wix,B-31-08-L4-D,60,60,13,33,20,12.09,19.28,15,C
STR-23620,OEM-6693486,Suspension,Amortisseur bitube (KYB),KYB,A-14-08-L4-A,41,41,12,28,5,198.81,322.24,20,A
STR-23621,OEM-8250799,Électrique,Sonde Lambda amont (Denso),Denso,B-17-05-L4-B,14,14,14,7,1,132.85,223.88,32,C
STR-23622,OEM-8139312,Suspension,Bras oscillant inférieur (Monroe),Monroe,B-02-02-L3-B,6,6,4,5,1,59.07,84.63,38,C
AIR-23623,OEM-5973990,Filtration,Filtre habitacle charbon (Bosch),Bosch,C-12-10-L3-C,14,14,4,3,1,27.83,44.07,35,C
ALT-23624,OEM-6187656,Électrique,Bobine d'allumage (Bosch),Bosch,B-36-09-L2-A,11,11,0,8,2,35.22,60.69,22,C
ARM-23625,OEM-6810424,Suspension,Rotule de direction (Moog),Moog,C-09-06-L1-E,254,254,15,132,59,66.42,96.71,3,C
ALT-23626,OEM-8066573,Électrique,Capteur vilebrequin (Denso),Denso,B-28-06-L2-D,24,24,13,30,16,179.25,298.52,18,C
BEL-23627,OEM-9327508,Moteur & Refroidissement,Courroie accessoire (Nissens),Nissens,B-06-04-L4-C,6,6,3,9,2,186.73,319.15,18,C
ALT-23628,OEM-1630253,Électrique,Démarreur 1.8kW (Valeo),Valeo,B-34-08-L1-B,55,55,8,30,6,123.45,182.47,10,C
FLT-23629,OEM-5560542,Filtration,Filtre à huile (Mann-Filter),Mann-Filter,B-39-04-L1-C,12,12,6,7,3,28.39,43.99,26,C
STR-23630,OEM-2670801,Suspension,Rotule de direction (Bilstein),Bilstein,D-03-10-L3-C,3,3,2,12,4,201.43,329.86,36,C
WAT-23631,OEM-2888609,Moteur & Refroidissement,Thermostat piloté (Gates),Gates,B-38-06-L1-D,29,29,1,31,18,176.38,240.73,9,C
WAT-23632,OEM-4095210,Moteur & Refroidissement,Kit distribution + pompe (Continental),Continental,B-38-09-L3-D,12,12,8,10,2,174.39,258.56,18,A
STR-23633,OEM-2543815,Suspension,Ressort hélicoïdal (Sachs),Sachs,C-16-03-L3-B,52,52,0,32,12,49.84,76.7,12,C
RAD-23634,OEM-1040854,Moteur & Refroidissement,Kit distribution + pompe (SKF),SKF,B-04-03-L4-E,6,6,0,8,2,100.9,149.63,40,C
ROT-23635,OEM-1389943,Freinage,Disque ventilé (Textar),Textar,B-16-09-L2-D,263,263,12,113,40,103.37,146.27,6,A
BRK-23636,OEM-5735918,Freinage,Flexible de frein (TRW),TRW,A-05-06-L4-A,83,83,10,101,43,15.7,24.4,3,C
ARM-23637,OEM-7274166,Suspension,Bras oscillant inférieur (Moog),Moog,D-01-02-L2-E,64,64,8,40,15,124.54,193.6,14,C
SUS-23638,OEM-8414097,Suspension,Bras oscillant inférieur (Moog),Moog,A-01-05-L2-E,446,446,0,127,59,138.28,206.32,4,B
ARM-23639,OEM-4838959,Suspension,Rotule de direction (Sachs),Sachs,B-06-03-L2-B,4,4,1,11,4,165.19,264.28,21,A
ALT-23640,OEM-5455898,Électrique,Capteur vilebrequin (Valeo),Valeo,B-14-05-L3-D,14,14,9,36,16,134.79,230.4,7,A
FLT-23641,OEM-1762136,Filtration,Filtre carburant diesel (Wix),Wix,B-40-08-L2-B,9,9,3,4,1,4.35,7.39,18,C
SEN-23642,OEM-4603874,Électrique,Capteur vilebrequin (Delphi),Delphi,C-02-05-L3-E,64,64,4,22,9,27.74,45.45,10,C
STR-23643,OEM-8506807,Suspension,Bras oscillant inférieur (Bilstein),Bilstein,C-09-03-L4-D,2,2,0,9,1,192.07,302.6,44,C
BEL-23644,OEM-9698400,Moteur & Refroidissement,Thermostat piloté (SKF),SKF,C-07-04-L3-E,10,10,0,12,4,104.85,148.81,31,C
CAB-23645,OEM-5713019,Filtration,Filtre à huile (Bosch),Bosch,C-18-01-L2-C,53,53,11,21,6,19.83,30.51,13,C
BRK-23646,OEM-2809424,Freinage,Flexible de frein (Ferodo),Ferodo,C-01-02-L3-E,62,62,6,31,5,16.54,26.61,13,C
STR-23647,OEM-8143496,Suspension,Rotule de direction (Monroe),Monroe,A-12-13-L4-D,1,1,1,9,2,87.84,148.69,24,C
RAD-23648,OEM-3851867,Moteur & Refroidissement,Kit distribution + pompe (Gates),Gates,B-17-04-L3-D,13,13,6,4,2,29.21,49.82,22,C
STR-23649,OEM-3270862,Électrique,Alternateur 140A (Denso),Denso,B-11-07-L1-E,58,58,15,22,10,29.76,50.53,18,B
STR-23650,OEM-3968314,Suspension,Ressort hélicoïdal (KYB),KYB,A-03-12-L1-E,11,11,4,3,1,68.01,101.33,43,C
FLT-23651,OEM-7633613,Filtration,Filtre à huile (Bosch),Bosch,B-38-08-L1-C,384,384,12,80,25,29.14,49.97,9,C
STR-23652,OEM-6842266,Suspension,Rotule de direction (Sachs),Sachs,C-06-05-L1-A,98,98,7,84,31,29.26,49.31,7,C
STR-23653,OEM-4009249,Électrique,Sonde Lambda amont (NGK),NGK,C-04-05-L4-C,11,11,10,6,2,214.37,339.29,41,C
AIR-23654,OEM-8606432,Filtration,Filtre habitacle charbon (Bosch),Bosch,A-05-08-L4-E,7,7,0,11,4,35.6,55.11,23,C
RAD-23655,OEM-2893920,Moteur & Refroidissement,Kit distribution + pompe (Gates),Gates,C-11-05-L3-B,1,1,1,5,3,174.38,238.87,41,B
ALT-23656,OEM-9815620,Électrique,Bobine d'allumage (Bosch),Bosch,A-20-04-L4-C,34,34,8,35,9,111.67,156.89,16,A
ARM-23657,OEM-7838789,Suspension,Bras oscillant inférieur (KYB),KYB,A-02-01-L2-A,14,14,0,32,6,129.01,196.58,18,C
ARM-23658,OEM-2097911,Suspension,Bras oscillant inférieur (KYB),KYB,B-02-09-L2-C,330,330,1,74,28,118.33,167.66,6,B
BRK-23659,OEM-1561136,Freinage,Plaquettes AR (Bosch),Bosch,C-09-09-L1-B,50,50,5,35,13,108.22,161.63,18,A
BEL-23660,OEM-7095329,Moteur & Refroidissement,Kit distribution + pompe (SKF),SKF,A-05-03-L3-B,79,79,8,34,9,111.96,169.73,10,A
BEL-23661,OEM-4110216,Moteur & Refroidissement,Thermostat piloté (Gates),Gates,C-07-06-L4-C,40,40,15,27,6,97.18,142.91,13,C
FLT-23662,OEM-8995928,Filtration,Filtre à huile (Bosch),Bosch,A-11-12-L4-C,1,1,1,4,1,15.78,26.14,34,B
FLT-23663,OEM-6415712,Filtration,Filtre habitacle charbon (Mahle),Mahle,A-20-15-L1-E,11,11,11,37,11,4.57,7.76,14,C
BRK-23664,OEM-9616363,Freinage,Plaquettes AR (Textar),Textar,B-35-01-L1-E,14,14,8,5,2,45.55,65.48,23,C
BEL-23665,OEM-8634021,Moteur & Refroidissement,Thermostat piloté (Gates),Gates,B-32-10-L2-E,62,62,4,37,14,53.07,79.0,17,C
RAD-23666,OEM-2174907,Moteur & Refroidissement,Thermostat piloté (Valeo),Valeo,B-18-10-L3-C,89,89,0,69,26,37.28,63.38,10,C
STR-23667,OEM-4591819,Suspension,Bras oscillant inférieur (KYB),KYB,A-18-15-L3-A,1,1,1,7,2,124.84,183.52,43,C
ALT-23668,OEM-3773626,Électrique,Capteur vilebrequin (Delphi),Delphi,B-03-05-L4-B,37,37,15,23,5,146.38,226.26,15,C
ARM-23669,OEM-7190942,Suspension,Bras oscillant inférieur (Moog),Moog,C-11-03-L4-D,61,61,14,37,16,106.58,169.79,19,C
FLT-23670,OEM-7484667,Filtration,Filtre carburant diesel (Mahle),Mahle,B-06-10-L1-A,6,6,0,8,4,12.51,21.39,35,A
BEL-23671,OEM-2211156,Moteur & Refroidissement,Kit distribution + pompe (SKF),SKF,A-01-09-L4-B,7,7,2,9,3,237.95,381.69,27,C
BRK-23672,OEM-5937118,Freinage,Disque ventilé (Textar),Textar,B-14-05-L4-C,62,62,11,48,18,89.84,141.76,7,C
FLT-23673,OEM-7796830,Filtration,Filtre habitacle charbon (Purflux),Purflux,A-17-11-L3-C,161,161,10,129,50,6.23,8.42,4,A
AIR-23674,OEM-7194895,Filtration,Filtre à huile (Wix),Wix,B-28-10-L2-C,418,418,2,79,40,24.0,35.62,8,C
CAB-23675,OEM-8489817,Filtration,Filtre habitacle charbon (Purflux),Purflux,C-20-04-L2-B,45,45,1,42,12,13.57,20.4,21,C
RAD-23676,OEM-7887616,Moteur & Refroidissement,Kit distribution + pompe (Nissens),Nissens,A-09-14-L2-B,10,10,7,9,2,117.91,163.5,25,A
AIR-23677,OEM-5139003,Filtration,Filtre habitacle charbon (Wix),Wix,B-30-10-L4-D,44,44,6,38,18,6.77,9.74,14,C
FLT-23678,OEM-5549830,Filtration,Filtre à air (Mahle),Mahle,B-26-03-L2-C,333,333,11,117,47,13.07,21.6,8,C
STR-23679,OEM-5208931,Électrique,Bobine d'allumage (Delphi),Delphi,A-13-12-L1-C,73,73,2,21,5,186.44,294.43,8,C
ARM-23680,OEM-3467463,Suspension,Amortisseur bitube (KYB),KYB,C-10-07-L3-B,15,15,11,7,3,83.82,124.83,20,C
AIR-23681,OEM-4298852,Filtration,Filtre habitacle charbon (Purflux),Purflux,C-18-06-L3-C,60,60,7,21,11,27.56,45.98,8,C
AIR-23682,OEM-4539755,Filtration,Filtre habitacle charbon (Mann-Filter),Mann-Filter,B-08-08-L4-C,276,276,9,102,46,5.86,8.35,7,A
ALT-23683,OEM-4430966,Électrique,Capteur vilebrequin (Denso),Denso,A-20-12-L3-D,14,14,3,6,3,220.17,341.99,44,A
BRK-23684,OEM-3322895,Freinage,Étrier reconditionné (Ferodo),Ferodo,B-24-09-L4-D,60,60,7,39,20,120.67,204.52,10,C
STR-23685,OEM-6527303,Suspension,Rotule de direction (Sachs),Sachs,A-11-09-L4-A,251,251,11,98,28,68.95,114.04,5,A
CAL-23686,OEM-4686683,Freinage,Disque ventilé (TRW),TRW,C-13-01-L3-C,14,14,12,9,3,111.33,178.08,40,A
ARM-23687,OEM-6120207,Suspension,Ressort hélicoïdal (Sachs),Sachs,B-03-01-L4-E,12,12,4,4,1,172.43,251.39,17,C
ROT-23688,OEM-5620127,Freinage,Disque ventilé (Bosch),Bosch,A-12-10-L4-B,9,9,4,8,3,93.71,131.92,20,C
CAB-23689,OEM-8151499,Filtration,Filtre à air (Wix),Wix,B-33-10-L3-B,144,144,8,92,39,18.37,25.7,7,C
CAB-23690,OEM-2012184,Filtration,Filtre habitacle charbon (Mahle),Mahle,B-16-03-L4-C,14,14,0,9,4,36.26,60.67,16,C
ROT-23691,OEM-3796538,Freinage,Flexible de frein (Ferodo),Ferodo,A-05-05-L1-C,84,84,8,55,23,98.76,160.73,9,C
STR-23692,OEM-2002028,Électrique,Capteur vilebrequin (Bosch),Bosch,C-09-10-L4-A,10,10,6,4,2,147.23,220.27,17,C
FLT-23693,OEM-8549906,Filtration,Filtre à air (Wix),Wix,B-35-10-L3-B,15,15,9,9,4,5.81,8.12,20,A
SEN-23694,OEM-9165348,Électrique,Sonde Lambda amont (Valeo),Valeo,B-13-09-L4-C,262,262,13,84,40,149.68,216.99,7,C
AIR-23695,OEM-5804103,Filtration,Filtre à air (Wix),Wix,B-28-06-L1-C,41,41,14,42,17,3.96,6.88,9,C
RAD-23696,OEM-5691866,Moteur & Refroidissement,Radiateur alu (SKF),SKF,B-33-05-L2-E,3,3,2,11,4,185.1,313.22,36,B
WAT-23697,OEM-2943837,Moteur & Refroidissement,Thermostat piloté (Nissens),Nissens,C-11-01-L1-E,25,25,6,35,20,175.49,299.07,9,C
AIR-23698,OEM-2101496,Filtration,Filtre à huile (Bosch),Bosch,A-07-06-L2-E,35,35,11,39,17,7.95,11.3,11,C
RAD-23699,OEM-4412284,Moteur & Refroidissement,Courroie accessoire (Gates),Gates,C-10-10-L4-D,73,73,8,41,11,194.04,337.75,20,C
BEL-23700,OEM-2233939,Moteur & Refroidissement,Radiateur alu (Continental),Continental,B-14-10-L2-A,13,13,0,5,3,99.39,160.88,18,C
RAD-23701,OEM-2388472,Moteur & Refroidissement,Thermostat piloté (Gates),Gates,A-06-01-L4-D,6,6,3,10,2,37.48,53.22,40,C
WAT-23702,OEM-7142130,Moteur & Refroidissement,Thermostat piloté (Valeo),Valeo,B-08-01-L1-B,23,24,2,23,10,49.4,78.07,19,C
SEN-23703,OEM-6308794,Électrique,Alternateur 140A (Valeo),Valeo,A-16-04-L4-B,49,49,12,29,5,222.73,352.6,9,B
STR-23704,OEM-2070739,Électrique,Alternateur 140A (NGK),NGK,B-16-01-L3-C,363,363,7,92,32,296.95,431.9,10,C
BEL-23705,OEM-4653275,Moteur & Refroidissement,Thermostat piloté (Gates),Gates,A-18-06-L4-A,8,8,3,9,1,33.9,58.0,21,A
FLT-23706,OEM-4945157,Filtration,Filtre à air (Mahle),Mahle,B-28-03-L1-E,363,363,5,115,60,37.02,55.81,6,A
CAB-23707,OEM-8334342,Filtration,Filtre à air (Wix),Wix,C-06-03-L3-D,29,29,13,25,9,25.84,44.75,10,C
SUS-23708,OEM-8975893,Suspension,Rotule de direction (Moog),Moog,B-14-06-L4-E,209,209,6,94,34,37.81,54.31,4,C
SEN-23709,OEM-3177492,Électrique,Démarreur 1.8kW (Denso),Denso,C-16-10-L2-C,11,11,1,7,2,19.42,33.35,21,C
CAB-23710,OEM-1306878,Filtration,Filtre à air (Mahle),Mahle,B-38-10-L1-A,10,10,0,6,3,12.57,21.42,15,C
STR-23711,OEM-1027484,Suspension,Amortisseur bitube (Moog),Moog,A-16-14-L1-B,15,15,6,6,1,92.0,153.04,27,C
ARM-23712,OEM-7182660,Suspension,Rotule de direction (Moog),Moog,B-32-07-L4-A,5,5,2,10,2,93.24,147.18,15,C
WAT-23713,OEM-6353286,Moteur & Refroidissement,Thermostat piloté (Continental),Continental,A-01-07-L4-E,362,362,11,99,29,227.37,372.22,10,C
